"categoria","subcategoria","nombre","color","url","talla","precio","descripcion"
"zapatos","Sneakers"," Daily...","N/A","https://latiendadevalentina.com/low-cost/sneakers-daily-nude-gris-blanco/#/8-talla-36","8-talla-36","18,59 €","Deportivo tipo eneakers con suela ancha y con relieve. Combina diferentes colores y materiales. Cierre mediante cordones."
"zapatos","Deportivo"," Ligero Clot","NUDE","https://latiendadevalentina.com/low-cost/deportivo-ligero-clot-nude/#/8-talla-36","8-talla-36","16,99 €","Deportivo ligro que combina diferentes texturas en tejido de punto en tono nude. Cierre mediante cordones.
 "
"zapatos","Deportivo"," Ligero Clot","MARINO","https://latiendadevalentina.com/low-cost/deportivo-ligero-clot-marino/#/8-talla-36","8-talla-36","16,99 €","Deportivo ligro que combina diferentes texturas en tejido de punto en tono marino. Cierre mediante cordones. "
"zapatos","Botín"," Joe","TEJA","https://latiendadevalentina.com/low-cost/botin-joe-teja/#/8-talla-36","8-talla-36","28,99 €","Botín de tacón efecto serraje troquelado con dibujo geométrico. Tobillo descubierto con cierre de hebilla. "
"zapatos","Salón"," Antelina Tacón","NEGRO","https://latiendadevalentina.com/low-cost/salon-antelina-tacon-negro/#/8-talla-36","8-talla-36","12,59 €","Zapato tacón de antelina color negro. Acabado en punta. Tacón alto fino. SE RECOMIENDA PEDIR UN NÚMERO MÁS DEL HABITUAL."
"zapatos","Salón"," Antelina Tacón","NUDE","https://latiendadevalentina.com/low-cost/salon-antelina-tacon-nude/#/8-talla-36","8-talla-36","20,99 €","Zapato tacón de antelina color nude. Acabado en punta. Tacón alto fino. SE RECOMIENDA PEDIR UN NÚMERO MÁS DEL HABITUAL. "
"zapatos","Salón"," Antelina Tacón","NARANJA","https://latiendadevalentina.com/low-cost/salon-antelina-tacon-naranja/#/8-talla-36","8-talla-36","12,59 €","Zapato tacón de antelina color naranja. Acabado en punta. Tacón alto fino. SE RECOMIENDA PEDIR UN NÚMERO MÁS DEL HABITUAL."
"zapatos","Salón"," Antelina Tacón","CORAL","https://latiendadevalentina.com/low-cost/salon-antelina-tacon-coral/#/8-talla-36","8-talla-36","12,59 €","Zapato tacón de antelina color coral. Acabado en punta. Tacón alto fino. SE RECOMIENDA PEDIR UN NÚMERO MÁS DEL HABITUAL."
"zapatos","Deportivo"," Ena Talón","SERPIENTE","https://latiendadevalentina.com/low-cost/deportivo-ena-talon-serpiente/#/8-talla-36","8-talla-36","20,99 €","Deportivo efecto piel  con detalle de talón a contraste en antelina.

Se recomienda comprobar las medidas porque puede tallar pequeño. "
"zapatos","Deportivo"," Ena Talón","ROSA","https://latiendadevalentina.com/low-cost/deportivo-ena-talon-rosa/#/8-talla-36","8-talla-36","20,99 €","Deportivo efecto piel  con detalle de talón y cordones a contraste.

Se recomienda comprobar las medidas porque puede tallar pequeño. "
"zapatos","Deportivo"," Ena Talón","LEOPARDO","https://latiendadevalentina.com/low-cost/deportivo-ena-talon-leopardo/#/8-talla-36","8-talla-36","20,99 €","Deportivo efecto piel  con detalle de talón a contraste en antelina.

Se recomienda comprobar las medidas porque puede tallar pequeño. "
"zapatos","Deportivo"," Ena Talón","MARINO","https://latiendadevalentina.com/low-cost/deportivo-ena-talon-marino/#/8-talla-36","8-talla-36","20,99 €","Deportivo efecto piel  con detalle de talón a contraste en antelina.

Se recomienda comprobar las medidas porque puede tallar pequeño. "
"zapatos","Deportivo"," New Leo Tricolor","N/A","https://latiendadevalentina.com/low-cost/deportivo-new-leo-tricolor/#/8-talla-36","8-talla-36","15,59 €","Deportivo tricolor que combina diferentes materiales, texturas y colores. Cierre con cordones. Detalle de tirador trasero. Aconsejamos revisar las medidas del deportivo ya que tienden a dar menos talla."
"zapatos","Deportivo"," Star Talón","PLATA","https://latiendadevalentina.com/low-cost/deportivo-star-talon-plata/#/8-talla-36","8-talla-36","20,99 €","Deportivo tipo bamba efecto piel el blanco con taloneras en glitter metalizado. Detalle de strass en la suela a tono con la talonera. Talla justo, se recomienda comprobar las medidas en la tabla. "
"zapatos","Deportivo"," Star Talón","NEGRO","https://latiendadevalentina.com/low-cost/deportivo-star-talon-negro/#/8-talla-36","8-talla-36","10,49 €","Deportivo tipo bamba efecto piel el blanco con taloneras en glitter metalizado. Detalle de strass en la suela. Talla justo, se recomienda comprobar las medidas en la tabla. "
"zapatos","Deportivo"," Star Talón","ORO","https://latiendadevalentina.com/low-cost/deportivo-star-talon-oro/#/8-talla-36","8-talla-36","10,49 €","Deportivo tipo bamba efecto piel el blanco con taloneras en glitter metalizado. Detalle de strass en la suela a tono con la talonera. Talla justo, se recomienda comprobar las medidas en la tabla. "
"zapatos","Deportivo"," Bay Talón","BEBÉ-ROSA","https://latiendadevalentina.com/low-cost/deportivo-bay-talon-rosa-bebe/#/8-talla-36","8-talla-36","9,49 €","Deportivo tipo bamba de efecto piel con cordones a tono. Detalle de talonera en antelina rosa bebé.
*Este deportivo talla justo, se recomienda mirar las medidas. "
"zapatos","Deportivo"," Bay Talón","CELESTE","https://latiendadevalentina.com/low-cost/deportivo-bay-talon-celeste/#/8-talla-36","8-talla-36","9,49 €","Deportivo tipo bamba de efecto piel con cordones a tono. Detalle de talonera en antelina rosa bebé.
*Este deportivo talla justo, se recomienda mirar las medidas. "
"zapatos","Deportivo"," Kim BEIGE /","BLANCO","https://latiendadevalentina.com/low-cost/deportivo-kim-beige-blanco/#/8-talla-36","8-talla-36","11,50 €","Deportivo tipo bamba con plataforma. Tejido efecto piel combinado con antelina de diferentes tonos y pieza decorativa en charol. "
"zapatos","Deportivo"," Kim NEGRO /","BLANCO","https://latiendadevalentina.com/low-cost/deportivo-kim-negro-blanco/#/8-talla-36","8-talla-36","11,50 €","Deportivo tipo bamba con plataforma. Tejido efecto piel combinado con antelina de diferentes tonos y pieza decorativa en charol. "
